population_size,run,window_condition,removal_percent,n_age_nodes,pca_rho,pca_rho_p,pca_tau,pca_tau_p,mlp_rho,mlp_rho_p,mlp_tau,mlp_tau_p,pca_pc1_variance,pca_2d_variance,mlp_mean_curve_distance,mlp_max_curve_distance
200,without_windows_original,without_windows,0.0,100,0.9861866186618661,2.4480495684404443e-78,0.9094949494949497,5.466360954618423e-41,0.9893759057227419,6.84216918092735e-84,0.9174664154299798,1.1334736866691989e-41,0.19719297263941843,0.262906313311318,0.19563854847184736,0.7843686715665412
200,without_windows_removed_15pct,without_windows,15.0,100,0.9843984398439843,9.140248973327313e-76,0.8997979797979799,3.717334390506437e-40,0.9895481203344042,3.084491914000254e-84,0.9218334226590533,6.986178024546097e-42,0.2072533499136507,0.2751492872497567,0.19569969937578974,0.7553712293819521
200,without_windows_removed_30pct,without_windows,30.0,100,0.9825622562256224,2.0409992975039156e-73,0.8880808080808081,3.66803993359063e-39,0.9827925059085784,1.0699267130726234e-73,0.8922148140235422,1.9364177669626562e-39,0.20502798446750306,0.27511147203916614,0.23302101525573743,1.3022432879208687
200,without_windows_removed_45pct,without_windows,45.0,100,0.9776897689768975,3.1861580535504705e-68,0.8844444444444446,7.4192456715054e-39,0.9827259798108673,1.2905733962682392e-73,0.8945993190547153,1.2977260754260883e-39,0.20406687225529888,0.26309937233057046,0.26813562721895395,0.828938062372227
200,without_windows_removed_60pct,without_windows,60.0,100,0.965016501650165,8.802517332184372e-59,0.8513131313131315,3.985951080771301e-36,0.9846344055588577,4.355839537629597e-76,0.8999704350833748,4.464351057115276e-40,0.21292890094969988,0.2905151303922592,0.20481253184561785,0.8037341181305357
200,without_windows_removed_75pct,without_windows,75.0,100,0.9656165616561654,3.8252289507857308e-59,0.8662626262626264,2.406444632093187e-37,0.9842239495564007,1.5698013240740994e-75,0.8967752170624606,7.835583491352607e-40,0.21883338055732574,0.2852585649115228,0.29388950136603376,1.0119528254270616
100,without_windows_original,without_windows,0.0,100,0.9903030303030302,7.972095726872907e-86,0.9220202020202021,4.459422303117787e-42,0.9840260195098539,2.878297470131108e-75,0.895269196940984,1.0346828885302166e-39,0.25537847591245366,0.3146465821999389,0.2321960486745187,1.0075049191448011
100,without_windows_removed_15pct,without_windows,15.0,100,0.9897269726972696,1.3295899247514796e-84,0.9195959595959596,7.262562887218971e-42,0.9862846844599212,1.7306645403093243e-78,0.9023978671402416,2.7710628984812645e-40,0.2508333412379516,0.32272752198626037,0.2627779584055604,1.1722443167138803
100,without_windows_removed_30pct,without_windows,30.0,100,0.9896789678967896,1.6689163445033102e-84,0.9163636363636364,1.3888224181464908e-41,0.9666931698232951,8.257570559846459e-60,0.847498844933308,8.733306066693378e-36,0.26669172883759296,0.32632403925247555,0.3879464965102142,1.9527468429541883
100,without_windows_removed_45pct,without_windows,45.0,100,0.9914791479147914,1.452584240712221e-88,0.9264646464646465,1.8177109976142603e-42,0.9755008619682449,2.967182516023837e-66,0.8659863862872393,3.1003032262626623e-37,0.26511483396062074,0.3233672989161812,0.2830090285222296,1.00693051408092
100,without_windows_removed_60pct,without_windows,60.0,100,0.9914431443144313,1.7844316814154915e-88,0.9268686868686871,1.6749456213475726e-42,0.9444561798670981,3.696361568517199e-49,0.80349410102051,3.7121574750618247e-32,0.25865165871676127,0.3183527321618456,0.4742458824033853,1.4158040447413438
100,without_windows_removed_75pct,without_windows,75.0,100,0.9928232823282327,3.331363782178586e-92,0.9317171717171718,6.259154662132524e-43,0.9843711091212837,9.952290881227351e-76,0.8967052386660618,7.54922694105096e-40,0.25870676839571255,0.31988884185453575,0.21228934990727955,0.7765698507141834
